AA,AXP,BA,BAC,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,PFE,PG,T,TRV,UNH,UTX,VZ,WMT,XOM,AAPL,AMD,DELL,GOOG,BNCN,C,CS,GS,AMZN,BBY,COST,WAG,WFM,TEVA,DJIA,SPY
-0.012658397,-0.024692613,-0.010196738,-0.041385216,-0.007563515,-0.014742282,-0.00458191,-0.017391743,-0.00778214,-0.017291497,-0.00878483,0,0.033099948,0,0.008628181,-0.023810649,-0.003316753,0.009838449,-0.002395211,0,-0.007407441,0,0.004882028,0,-0.003861009,-0.007547206,0.00395518,0.006349228,-0.00190295,-0.005354765,-0.005346018,-0.025001302,-0.021819047,-0.012428383,-0.023810649,-0.008385793,-0.007202912,-0.048057295,-0.023281475,-0.006006024,-0.008498635,-0.017699577,-0.017291497,-0.007736983,-0.001073401,-0.009654138
-0.006389798,0.002270149,-0.008823587,0.013986242,-0.02082267,-0.004962789,-0.002298852,-0.015469922,0.002600782,0.005797118,0.023256862,0.008888947,0.000664231,-0.005115101,0.003430535,0.023810649,-0.006666691,-0.002801122,0.001198322,0.006369448,-0.003724399,-0.005934736,0.008084118,-0.00389864,0.007707167,-0.007604599,-0.00395518,0.00315956,0.016997576,-0.006734032,-0.018332595,0.012578782,-0.014815086,-0.007946641,0,0.008385793,-0.004830927,-0.004316997,-0.02658144,0.011976191,0.004258346,0.007623925,0,-0.003891055,-0.000202977,-0.000808734
-0.012903405,0.015748357,0.008823587,-0.021053409,-0.008898835,0,0.011441772,0.004444452,0.012903405,0.072455079,0,0.00881063,-0.001994019,-0.0051414,-0.001713796,0.014018921,-0.003350087,-0.002808991,0.01426897,-0.006369448,-0.011257155,0.005934736,0.001609011,0.00389864,0.001917546,0.002541297,0.007894778,0.009419222,-0.00375235,0.016086138,-0.018057109,-0.064538521,-0.007490672,-0.024062526,0,0.018614808,0.026285862,0.00308547,-0.025050016,-0.005970167,0.005649733,0.002528446,-0.00778214,-0.015717416,0.004135969,0.001616815
0.038221213,-0.00447428,0.01453514,-0.021506205,0.019912162,0.019705071,0.003407158,0.01102547,0.005115101,0.010695289,0.002869442,0.006557401,0.026265463,0.020408872,-0.008613318,-0.006984895,0.010016778,0.005610113,0.011737224,-0.003200003,0.011257155,0.005899722,0.009600074,0.0038835,0.011428696,-0.01534557,0.016894489,0.00623055,0.005623258,-0.005333346,0.03221184,0.013245227,0.022305758,-0.001308473,0.011976191,-0.006166515,0.016374635,0.000615953,-0.00338792,0.005970167,-0.001409444,-0.005063302,0.005842276,-0.003968259,0.009114488,0.005638356
-0.012578782,-0.022676709,-0.007241161,-0.021978907,-0.002192983,0.019324273,0,0.004376375,0,0,0.014224991,-0.008752791,0.011598068,0.015037877,-0.01745245,-0.002339182,-0.006666691,0.001397624,-0.020036027,-0.012903405,0.003724399,0,0.00159109,0.011560822,0.011299555,0.020408872,0.002574004,0.015408625,0.020352229,0.001336006,0.011595195,-0.026668247,0,0.014461216,-0.024097552,-0.008281621,-0.002322881,-0.026834684,-0.000565771,-0.005970167,-0.002824861,-0.00508907,0.007736983,0.035159872,-0.000283835,0.00080289
0.025001302,-0.006904515,-0.030998792,-0.007434978,0.014169174,-0.009615459,0.005652926,0.025863511,-0.012837147,-0.005333346,0.008438869,-0.004405293,-0.002565749,0.009901071,-0.008841791,0.002339182,0,-0.004198747,0.011834458,-0.003252035,0.011090687,-0.005899722,-0.007980888,0,0,-0.007604599,-0.003863495,0.018182319,0.001829827,0.011944402,0.007362719,0,0,-0.005499852,0,-0.002081166,-0.014051753,-0.003802286,-0.007954587,-0.002998503,0.002824861,0,-0.011628038,0.032108518,0.000692749,0.004004811
-0.00619197,0.002306806,0.007468295,0.007434978,0.009693129,0.004819286,0.001126761,-0.002129926,0.002580647,0.021164811,0.01390843,-0.002209946,0,0,0.001774623,0.002333723,-0.003350087,-0.011283618,-0.00471699,0,0.003669729,0.005899722,-0.03092191,-0.023256862,0.007462721,0.049637981,0.014093763,0.002998503,0.003649639,0.003949972,-0.002056103,0.039740329,-0.022305758,0.000324359,0,0.00415801,0.00938974,0.016373162,0.050608519,-0.006024115,0.007027436,-0.005115101,0,-0.009337136,0.000367046,0.002395211
-0.02515856,-0.016260521,-0.019534806,-0.007434978,-0.010775966,-0.024332101,-0.014747857,0.002129926,-0.015584731,-0.005249356,-0.033711057,-0.026907453,-0.011628038,-0.014888612,-0.010695289,-0.01408474,-0.006734032,-0.014285957,-0.020299204,-0.003262646,-0.041127291,-0.017804625,0.001651528,-0.023810649,-0.014981554,-0.034486176,-0.014093763,-0.024243612,-0.014679163,-0.011897034,-0.020796947,-0.039740329,-0.022814678,-0.025954151,0.012121361,-0.02308602,-0.016490362,-0.013836699,-0.07485913,-0.018293193,-0.016949558,-0.01811175,-0.029675768,-0.01702974,-0.013950297,-0.017699577
0.03135053,-0.011778699,0.004542021,0.014815086,0.013986242,0.009804,0.016997576,0.006362694,0,-0.005277057,0,0.002270149,0.017391743,0,-0.003590668,0.009411834,0.010084119,0.005738897,0.006013247,0,0,0.005970167,-0.018318581,0.004008021,0.007518832,0.00250313,-0.001291156,0,-0.011152532,0.021053409,0.009560874,0.052643733,0,-0.000999001,-0.036813973,0.021009176,-0.007151401,0.011335134,-0.008805458,-0.003081667,-0.001425517,0.002607563,0.025769513,-0.003824096,0.005751504,0.007278641
0.04230238,0.004728141,0.012012156,0.036105005,0.010627093,0.014528101,0.013393057,0.018848726,0.025841231,0.036367644,0.008534902,0.017978012,0.009532961,0,0.014285957,0.023149182,0.003338901,-0.002865331,-0.00119976,0.025807884,0.011385322,0.052185753,-0.003367007,0.011928571,0.011173301,0.024692613,0.006439172,0.018237588,0.005591813,0.039571213,0.016514678,0.050010421,0.022814678,0.017667429,-0.051293294,0.016495219,0.018957914,0.010588701,0.01463298,0.009216655,0.008522779,0.043318875,0.023211874,0.020853836,0.012385249,0.015987551
-0.005934736,0.004705891,0.008915364,0,0.010515344,0.004796172,0.00221484,0.004140793,0.015190165,-0.005115101,-0.014265577,0.008869238,-0.001265823,0.004987542,0,-0.011507607,-0.003338901,0.001433692,-0.001201201,-0.006389798,-0.003780723,-0.005665738,-0.001687764,-0.00793655,-0.001853569,-0.002442004,0.003843695,-0.003016594,-0.009337136,-0.006277485,-0.002049481,0,0.022305758,0.001635323,0.063715814,-0.010277583,-0.009434032,-0.001860466,0.008101896,0.009132484,-0.02144471,-0.00500001,-0.023211874,-0.007532992,0.000149489,-0.001587302
0,-0.004705891,0,0.01408474,-0.001046573,0.014252023,0.00881063,0.002063984,0,0,0.005730675,0.008791265,0.001265823,0.009901071,0.00177148,0,-0.006711435,0.002861232,0.002400962,-0.025975486,-0.011428696,0.011299555,0.001687764,0.011881328,0.009233676,0.026539555,0,0.006024115,0.001874415,0,-0.002347419,0.012121361,0,-0.003109404,0,-0.008298803,0.007083855,-0.002486017,0.001152074,0.009049836,0.043823267,0.007490672,-0.001958864,-0.01523839,0.001684361,0.002380009
