Date,Open,High,Low,Close,Volume,Adj Close
2011-04-25,152.58,152.59,151.18,152.19,3711600,148.93
2011-04-26,151.89,153.95,151.78,153.27,4400000,149.99
2011-04-27,153.60,153.85,152.00,152.86,4207000,149.59
2011-04-28,152.55,152.60,150.20,150.60,5906700,147.38
2011-04-29,150.28,151.87,149.64,151.01,6075500,147.78
2011-05-02,152.20,153.07,151.07,151.30,4362700,148.06
2011-05-03,150.97,152.80,150.68,151.87,3557400,148.62
2011-05-04,152.25,152.46,150.95,151.52,3768000,148.28
2011-05-05,150.87,151.22,149.95,150.41,4100200,147.19
2011-05-06,151.47,151.97,149.53,150.10,5429300,146.89
2011-05-09,149.70,149.87,148.80,149.12,3152400,145.93
2011-05-10,149.02,150.74,148.52,150.40,4033800,147.18
2011-05-11,150.00,150.00,147.65,147.88,5310500,144.72
2011-05-12,145.99,146.78,140.66,142.75,20659200,139.70
2011-05-13,142.39,142.52,139.25,141.46,14256700,138.43
2011-05-16,140.89,143.39,140.26,140.60,6458800,137.59
2011-05-17,140.26,141.95,139.08,140.81,7071400,137.80
2011-05-18,140.93,141.82,140.21,140.84,4768900,137.83
2011-05-19,141.23,141.30,138.43,139.34,7331500,136.36
2011-05-20,138.18,139.64,134.79,134.99,11284500,132.10
2011-05-23,133.64,137.19,133.64,135.84,8406500,132.93
2011-05-24,136.27,136.76,135.03,136.34,6605300,133.42
2011-05-25,136.24,137.59,135.51,136.24,6528800,133.33
2011-05-26,136.20,136.70,135.34,136.26,5332300,133.35
2011-05-27,136.25,138.96,136.23,138.66,5275700,136.04
2011-05-31,140.82,142.30,139.88,140.73,7023200,138.07
2011-06-01,139.95,140.00,136.10,136.17,6768100,133.60
2011-06-02,136.65,136.73,131.50,134.38,12423400,131.84
2011-06-03,132.98,137.17,132.89,135.33,5457600,132.78
2011-06-06,134.75,135.22,133.14,133.90,5287800,131.37
2011-06-07,134.38,135.76,132.99,132.99,6191500,130.48
2011-06-08,132.63,134.89,131.50,131.59,6795100,129.11
2011-06-09,131.99,135.10,131.83,133.53,4498100,131.01
2011-06-10,133.21,137.25,132.52,135.92,7556800,133.35
2011-06-13,137.53,137.97,135.92,137.53,5273700,134.93
2011-06-14,138.20,138.95,136.54,137.10,5849900,134.51
2011-06-15,136.07,137.59,134.01,134.85,5715200,132.31
2011-06-16,134.63,136.89,134.15,136.09,5230700,133.52
2011-06-17,137.83,138.79,137.21,137.23,6758300,134.64
2011-06-20,136.42,136.73,134.36,135.14,4019900,132.59
2011-06-21,135.50,137.19,134.30,135.96,4213300,133.39
2011-06-22,135.59,137.78,134.43,134.52,4224400,131.98
2011-06-23,133.10,133.83,131.64,132.36,6706600,129.86
2011-06-24,132.81,133.45,130.82,130.91,5774800,128.44
2011-06-27,130.75,131.86,129.80,130.71,5831800,128.24
2011-06-28,131.34,131.34,128.30,129.26,8056000,126.82
2011-06-29,129.73,133.23,129.50,132.53,8170800,130.03
2011-06-30,133.05,133.80,131.50,133.09,4993000,130.58
2011-07-01,133.43,136.72,133.09,136.65,5103500,134.07
2011-07-05,135.90,136.05,133.00,134.50,4458300,131.96
2011-07-06,133.78,134.44,132.82,133.89,3029100,131.36
2011-07-07,135.09,136.20,134.72,135.01,3857500,132.46
2011-07-08,133.32,134.40,133.17,134.08,4141600,131.55
2011-07-11,132.75,133.43,131.07,132.02,4722900,129.53
2011-07-12,131.42,132.66,130.10,130.31,4330900,127.85
2011-07-13,130.74,131.77,129.70,129.92,4410500,127.47
2011-07-14,131.70,132.20,129.75,129.89,5357200,127.44
2011-07-15,131.31,131.51,129.18,130.16,5255100,127.70
2011-07-18,129.58,130.16,127.50,129.33,5836500,126.89
2011-07-19,125.73,129.93,125.50,128.49,15297700,126.07
2011-07-20,128.00,133.80,127.58,132.75,8578300,130.24
2011-07-21,133.52,135.98,133.25,135.58,7671000,133.02
2011-07-22,135.03,136.47,134.44,135.49,4925500,132.93
2011-07-25,134.17,137.13,133.50,136.85,5856700,134.27
2011-07-26,136.61,139.25,136.02,137.60,5464700,135.00
2011-07-27,136.79,137.25,134.44,134.72,5250000,132.18
2011-07-28,134.97,138.13,134.65,135.84,4429700,133.28
2011-07-29,134.10,136.60,133.13,134.97,5340300,132.42
2011-08-01,136.92,137.34,133.75,134.15,5880700,131.62
2011-08-02,132.08,134.76,131.18,131.23,7594500,128.75
2011-08-03,131.35,133.27,130.71,132.08,6499400,129.59
2011-08-04,130.84,131.89,126.21,126.23,8193300,123.85
2011-08-05,127.75,129.23,122.35,125.18,11167300,122.82
2011-08-08,122.08,125.44,112.11,117.66,17378000,115.44
2011-08-09,120.51,123.15,111.60,122.73,15913400,120.41
2011-08-10,119.58,119.67,110.04,110.34,18592000,108.26
2011-08-11,112.94,119.75,112.25,118.10,11842200,115.87
2011-08-12,119.82,120.88,115.29,116.47,9607900,114.27
2011-08-15,117.57,119.70,116.00,119.13,7257200,116.88
2011-08-16,117.60,119.78,115.50,116.87,7413100,114.66
2011-08-17,117.36,118.75,116.55,117.25,4828600,115.04
2011-08-18,112.15,114.50,112.04,113.14,9284600,111.00
2011-08-19,111.87,115.30,111.11,111.76,6829000,109.65
2011-08-22,114.17,114.49,105.10,106.51,11286600,104.50
2011-08-23,106.02,108.80,103.16,106.86,24482500,104.84
2011-08-24,106.90,110.74,106.39,110.31,10169800,108.23
2011-08-25,114.51,118.10,108.11,109.84,11939500,107.77
2011-08-26,108.63,112.58,107.72,111.75,7355700,109.64
2011-08-29,113.65,116.54,112.33,116.07,5177900,113.88
2011-08-30,115.33,116.00,113.25,115.18,5298800,113.35
